Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
spezifizieren,spezifiziere,spezifizierst,spezifiziert,spezifizierte,spezifiziert,spezifizierte,spezifiziere,spezifiziert,haben
spicken,spicke,spickst,spickt,spickte,gespickt,spickte,spicke,spickt,haben
spiegeln,spiegle,spiegelst,spiegelt,spiegelte,gespiegelt,spiegelte,spiegle,spiegelt,haben
spielen,spiele,spielst,spielt,spielte,gespielt,spielte,spiel,spielt,haben
spinksen,spinkse,spinkst,spinkst,spinkste,gespinkst,spinkste,spinkse,spinkst,haben
spinnen,spinne,spinnst,spinnt,spann,gesponnen,spönne,spinn,spinnt,haben
spionieren,spioniere,spionierst,spioniert,spionierte,spioniert,spionierte,spionier,spioniert,haben
spitzeln,spitzele,spitzelst,spitzelt,spitzelte,gespitzelt,spitzelte,spitzel,spitzelt,haben
spitzen,spitze,spitzt,spitzt,spitzte,gespitzt,spitzte,spitz,spitzt,haben
spleißen,spleiße,spleißt,spleißt,spliss,gesplissen,splisse,spleiß,spleißt,haben
splittern,splittere,splitterst,splittert,splitterte,gesplittert,splitterte,splittere,splittert,haben
spoilern,spoilere,spoilerst,spoilert,spoilerte,gespoilert,spoilerte,spoiler,spoilert,haben
spondieren,spondiere,spondierst,spondiert,spondierte,spondiert,spondierte,spondier,spondiert,haben
sponsern,sponsere,sponserst,sponsert,sponserte,gesponsert,sponserte,sponsere,sponsert,haben
spornen,sporne,spornst,spornt,spornte,gespornt,spornte,sporn,spornt,haben
sporteln,sportel,sportelst,sportelt,sportelte,gesportelt,sportelte,sportel,sportelt,haben
spötteln,spöttele,spöttelst,spöttelt,spöttelte,gespöttelt,spöttelte,spöttel,spöttelt,haben
spotten,spotte,spottest,spottet,spottete,gespottet,spottete,spotte,spottet,haben
spratzeln,spratzle,spratzelst,spratzelt,spratzelte,gespratzelt,spratzelte,spratzle,spratzelt,haben
spratzen,—,—,spratzt,spratzte,gespratzt,spratzte,—,—,haben
sprayen,spraye,sprayst,sprayt,sprayte,gesprayt,sprayte,spray,sprayt,haben
sprechen,spreche,sprichst,spricht,sprach,gesprochen,spräche,sprich,sprecht,haben
spreiten,spreite,spreitest,spreitet,spreitete,gespreitet,spreitete,spreit,spreitet,haben
spreizen,spreize,spreizt,spreizt,spreizte,gespreizt,spreizte,spreize,spreizt,haben
sprengen,sprenge,sprengst,sprengt,sprengte,gesprengt,sprengte,sprenge,sprengt,haben
sprenkeln,sprenkle,sprenkelst,sprenkelt,sprenkelte,gesprenkelt,sprenkelte,sprenkel,sprenkelt,haben
sprießen,sprieße,sprießt,sprießt,spross,gesprossen,sprösse,sprieß,sprießt,sein
springen,springe,springst,springt,sprang,gesprungen,spränge,springe,springt,sein
sprinten,sprinte,sprintest,sprintet,sprintete,gesprintet,sprintete,sprint,sprintet,sein
spriten,sprite,spritest,spritet,spritete,gespritet,spritete,sprite,spritet,haben
spritzen,spritze,spritzt,spritzt,spritzte,gespritzt,spritzte,spritz,spritzt,haben
sprudeln,sprudele,sprudelst,sprudelt,sprudelte,gesprudelt,sprudelte,sprudele,sprudelt,sein
sprühen,sprühe,sprühst,sprüht,sprühte,gesprüht,sprühte,sprüh,sprüht,haben
spucken,spucke,spuckst,spuckt,spuckte,gespuckt,spuckte,spucke,spuckt,haben
spuken,spuke,spukst,spukt,spukte,gespukt,spukte,spuk,spukt,haben
spulen,spule,spulst,spult,spulte,gespult,spulte,spul,spult,haben
spülen,spüle,spülst,spült,spülte,gespült,spülte,spül,spült,haben
spulgen,spulch mi,spulchst di,spulcht si,,gspulcht,dáád mi spulche,spulch di,spulcht aü,haben
spuren,spure,spurst,spurt,spurte,gespurt,spurte,spure,spurt,haben
spüren,spüre,spürst,spürt,spürte,gespürt,spürte,spüre,spürt,haben
spurten,spurte,spurtest,spurtet,spurtete,gespurtet,spurtete,spurt,spurtet,haben
sputen,spute,sputest,sputet,sputete,gesputet,sputete,sput,sputet,haben
staben,—,—,stabt,stabte,gestabt,stabte,—,—,haben
stabilisieren,stabilisiere,stabilisierst,stabilisiert,stabilisierte,stabilisiert,stabilisierte,stabilisier,stabilisiert,haben
staffieren,staffiere,staffierst,staffiert,staffierte,staffiert,staffierte,staffier,staffiert,haben
stageln,stagle,stagelst,stagelt,stagelte,gestagelt,stagelte,stagle,stagelt,haben
stagnieren,stagniere,stagnierst,stagniert,stagnierte,stagniert,stagnierte,stagniere,stagniert,haben
stählen,stähle,stählst,stählt,stählte,gestählt,stählte,stähle,stählt,haben
staken,stake,stakst,stakt,stakte,gestakt,stakte,stak,stakt,haben
staksen,stakse,stakst,stakst,stakste,gestakst,stakste,staks,stakst,sein
stalken,stalke,stalkst,stalkt,stalkte,gestalkt,stalkte,stalke,stalkt,haben
stammeln,stammle,stammelst,stammelt,stammelte,gestammelt,stammelte,stammle,stammelt,haben
stammen,stamme,stammst,stammt,stammte,gestammt,stammte,stamme,stammt,haben
stampfen,stampfe,stampfst,stampft,stampfte,gestampft,stampfte,stampf,stampft,haben
standardisieren,standardisiere,standardisierst,standardisiert,standardisierte,standardisiert,standardisierte,standardisier,standardisiert,haben
standhalten,halte stand,hältst stand,hält stand,hielt stand,standgehalten,hielte stand,halt stand,haltet stand,haben
stängeln,stängel,stängelst,stängelt,stängelte,gestängelt,stängelte,stängel,stängelt,haben
stänkern,stänkere,stänkerst,stänkert,stänkerte,gestänkert,stänkerte,stänker,stänkert,haben
stanzen,stanze,stanzt,stanzt,stanzte,gestanzt,stanzte,stanz,stanzt,haben
stapeln,staple,stapelst,stapelt,stapelte,gestapelt,stapelte,staple,stapelt,haben
stapfen,stapfe,stapfst,stapft,stapfte,gestapft,stapfte,stapfe,stapft,sein
stärken,stärke,stärkst,stärkt,stärkte,gestärkt,stärkte,stärke,stärkt,haben
starren,starre,starrst,starrt,starrte,gestarrt,starrte,starre,starrt,haben
starten,starte,startest,startet,startete,gestartet,startete,starte,startet,haben
stattfinden,finde statt,findest statt,findet statt,fand statt,stattgefunden,fände statt,finde statt,findet statt,haben
stattgeben,gebe statt,gibst statt,gibt statt,gab statt,stattgegeben,gäbe statt,gib statt,gebt statt,haben
statuieren,statuiere,statuierst,statuiert,statuierte,statuiert,statuierte,statuiere,statuiert,haben
stauben,staube,staubst,staubt,staubte,gestaubt,staubte,staube,staubt,haben
stäuben,stäube,stäubst,stäubt,stäubte,gestäubt,stäubte,stäub,stäubt,haben
staubsaugen,staubsauge,staubsaugst,staubsaugt,staubsaugte,gestaubsaugt,staubsaugte,staubsauge,staubsaugt,haben
stauchen,stauche,stauchst,staucht,stauchte,gestaucht,stauchte,stauch,staucht,haben
stauen,staue,staust,staut,staute,gestaut,staute,stau,staut,haben
staunen,staune,staunst,staunt,staunte,gestaunt,staunte,staun,staunt,haben
stäupen,stäupe,stäupst,stäupt,stäupte,gestäupt,stäupte,stäup,stäupt,haben
stechen,steche,stichst,sticht,stach,gestochen,stäche,stich,stecht,haben
stecken,stecke,steckst,steckt,steckte,gesteckt,steckte,steck,steckt,haben
stehen,stehe,stehst,steht,stand,gestanden,stünde,stehe,steht,haben
stehen bleiben,bleibe stehen,bleibst stehen,bleibt stehen,blieb stehen,stehen geblieben,bliebe stehen,bleib stehen,bliebt stehen,sein
stehenbleiben,bleibe stehen,bleibst stehen,bleibt stehen,blieb stehen,stehengeblieben,bliebe stehen,bleib stehen,bleibt stehen,sein
stehlen,stehle,stiehlst,stiehlt,stahl,gestohlen,stähle,stiehl,stehlt,haben
steigen,steige,steigst,steigt,stieg,gestiegen,stiege,steig,steigt,sein
steigern,steigere,steigerst,steigert,steigerte,gesteigert,steigerte,steiger,steigert,haben
steinen,steine,steinst,steint,steinte,gesteint,steinte,stein,steint,haben
steinigen,steinige,steinigst,steinigt,steinigte,gesteinigt,steinigte,steinig,steinigt,haben
stellen,stelle,stellst,stellt,stellte,gestellt,stellte,stelle,stellt,haben
stelzen,stelze,stelzt,stelzt,stelzte,gestelzt,stelzte,stelze,stelzt,sein
stemmen,stemme,stemmst,stemmt,stemmte,gestemmt,stemmte,stemm,stemmt,haben
stempeln,stemple,stempelst,stempelt,stempelte,gestempelt,stempelte,stemple,stempelt,haben
stenographieren,stenographiere,stenographierst,stenographiert,stenographierte,stenographiert,stenographierte,stenographiere,stenographiert,haben
steppen,steppe,steppst,steppt,steppte,gesteppt,steppte,steppe,steppt,haben
sterben,sterbe,stirbst,stirbt,starb,gestorben,stürbe,stirb,sterbt,sein
steuern,steuere,steuerst,steuert,steuerte,gesteuert,steuerte,steuere,steuert,haben
stibitzen,stibitze,stibitzt,stibitzt,stibitzte,stibitzt,stibitzte,stibitz,stibitzt,haben
sticheln,stichele,stichelst,stichelt,stichelte,gestichelt,stichelte,stichele,stichelt,haben
sticken,sticke,stickst,stickt,stickte,gestickt,stickte,sticke,stickt,haben
stieben,stiebe,stiebst,stiebt,stob,gestoben,stöbe,stiebe,stiebt,sein
stiefeln,stiefle,stiefelst,stiefelt,stiefelte,gestiefelt,stiefelte,stiefle,stiefelt,sein
stieren,stiere,stierst,stiert,stierte,gestiert,stierte,stiere,stiert,haben
stierln,stierle,stierlst,stierlt,stierlte,gestierlt,stierlte,stierle,stierlt,haben
stiften,stifte,stiftest,stiftet,stiftete,gestiftet,stiftete,stifte,stiftet,haben
stilisieren,stilisiere,stilisierst,stilisiert,stilisierte,stilisiert,stilisierte,stilisier,stilisiert,haben
stillen,stille,stillst,stillt,stillte,gestillt,stillte,still,stillt,haben
stillhalten,halte still,hältst still,hält still,hielt still,stillgehalten,hielte still,halte still,haltet still,haben
stilllegen,lege still,legst still,legt still,legte still,stillgelegt,legte still,leg still,legt still,haben
stillschweigen,schweige still,schweigst still,schweigt still,schwieg still,stillgeschwiegen,schwiege still,schweig still,schweigt still,haben
stillstehen,stehe still,stehst still,steht still,stand still,stillgestanden,stände still,steh still,steht still,haben
stimmen,stimme,stimmst,stimmt,stimmte,gestimmt,stimmte,stimm,stimmt,haben
stimulieren,stimuliere,stimulierst,stimuliert,stimulierte,stimuliert,stimulierte,stimulier,stimuliert,haben
stinken,stinke,stinkst,stinkt,stank,gestunken,stänke,stinke,stinkt,haben
stippen,stippe,stippst,stippt,stippte,gestippt,stippte,stipp,stippt,haben
stipulieren,stipuliere,stipulierst,stipuliert,stipulierte,stipuliert,stipulierte,stipuliere,stipuliert,haben
stöbern,stöbere,stöberst,stöbert,stöberte,gestöbert,stöberte,stöber,stöbert,haben
stochen,stoche,stochst,stocht,stochte,gestocht,stochte,stoch,stocht,haben
stochern,stochere,stocherst,stochert,stocherte,gestochert,stocherte,stocher,stochert,haben
stöckeln,stöckle,stöckelst,stöckelt,stöckelte,gestöckelt,stöckelte,stöckle,stöckelt,sein
stocken,stocke,stockst,stockt,stockte,gestockt,stockte,stock,stockt,haben
stöhnen,stöhne,stöhnst,stöhnt,stöhnte,gestöhnt,stöhnte,stöhne,stöhnt,haben
stolpern,stolpere,stolperst,stolpert,stolperte,gestolpert,stolperte,stolpere,stolpert,sein
stolzieren,stolziere,stolzierst,stolziert,stolzierte,stolziert,stolzierte,stolzier,stolziert,sein
stopfen,stopfe,stopfst,stopft,stopfte,gestopft,stopfte,stopfe,stopft,haben
stoppeln,stoppel,stoppelst,stoppelt,stoppelte,gestoppelt,stoppelte,stoppel,stoppelt,haben
stoppen,stoppe,stoppst,stoppt,stoppte,gestoppt,stoppte,stopp,stoppt,haben
stöpseln,stöpsele,stöpselst,stöpselt,stöpselte,gestöpselt,stöpselte,stöpsel,stöpselt,haben
stören,störe,störst,stört,störte,gestört,störte,stör,stört,haben
stornieren,storniere,stornierst,storniert,stornierte,storniert,stornierte,storniere,storniert,haben
stoßen,stoße,stößt,stößt,stieß,gestoßen,stieße,stoße,stoßt,haben
stoßlüften,stoßlüfte,stoßlüftest,stoßlüftet,stoßlüftete,stoßgelüftet,stoßlüftete,stoßlüfte,stoßlüftet,haben
stottern,stottere,stotterst,stottert,stotterte,gestottert,stotterte,stotter,stottert,haben
strafen,strafe,strafst,straft,strafte,gestraft,strafte,strafe,straft,haben
straffen,straffe,straffst,strafft,straffte,gestrafft,straffte,straff,strafft,haben
strafversetzen,—,—,—,—,strafversetzt,—,—,—,haben
strahlen,strahle,strahlst,strahlt,strahlte,gestrahlt,strahlte,strahl,strahlt,haben
strammstehen,stehe stramm,stehst stramm,steht stramm,stand stramm,strammgestanden,stände stramm,steh stramm,steht stramm,haben
strampeln,strample,strampelst,strampelt,strampelte,gestrampelt,strampelte,strampel,strampelt,haben
stranden,strande,strandest,strandet,strandete,gestrandet,strandete,strande,strandet,sein
strangulieren,stranguliere,strangulierst,stranguliert,strangulierte,stranguliert,strangulierte,stranguliere,stranguliert,haben
strapazieren,strapaziere,strapazierst,strapaziert,strapazierte,strapaziert,strapazierte,strapaziere,strapaziert,haben
sträuben,sträube,sträubst,sträubt,sträubte,gesträubt,sträubte,sträub,sträubt,haben
straucheln,strauchele,strauchelst,strauchelt,strauchelte,gestrauchelt,strauchelte,strauchle,strauchelt,sein
straufen,straufe,straufst,strauft,straufte,gestrauft,straufte,strauf,strauft,haben
strawanzen,strawanze,strawanzt,strawanzt,strawanzte,strawanzt,strawanzte,strawanz,strawanzt,haben
streamen,streame,streamst,streamt,streamte,gestreamt,streamte,stream,streamt,haben
streben,strebe,strebst,strebt,strebte,gestrebt,strebte,strebe,strebt,haben
strecken,strecke,streckst,streckt,streckte,gestreckt,streckte,streck,streckt,haben
streicheln,streichle,streichelst,streichelt,streichelte,gestreichelt,streichelte,streichle,streichelt,haben
streichen,streiche,streichst,streicht,strich,gestrichen,striche,streiche,streicht,haben
streifen,streife,streifst,streift,streifte,gestreift,streifte,streif,streift,haben
streiken,streike,streikst,streikt,streikte,gestreikt,streikte,streik,streikt,haben
streiten,streite,streitest,streitet,stritt,gestritten,stritte,streite,streitet,haben
stressen,stresse,stresst,stresst,stresste,gestresst,stresste,stress,stresst,haben
streuen,streue,streust,streut,streute,gestreut,streute,streue,streut,haben
streunen,streune,streunst,streunt,streunte,gestreunt,streunte,streun,streunt,haben
strichlieren,strichliere,strichlierst,strichliert,strichlierte,strichliert,strichlierte,strichlier,strichliert,haben
stricken,stricke,strickst,strickt,strickte,gestrickt,strickte,stricke,strickt,haben
striegeln,striegele,striegelst,striegelt,striegelte,gestriegelt,striegelte,striegele,striegelt,haben
striezen,strieze,striezt,striezt,striezte,gestriezt,striezte,striez,striezt,haben
strippen,strippe,strippst,strippt,strippte,gestrippt,strippte,strippe,strippt,haben
strömen,ströme,strömst,strömt,strömte,geströmt,strömte,ströme,strömt,sein
stromern,stromere,stromerst,stromert,stromerte,gestromert,stromerte,stromere,stromert,sein
strotzen,strotze,strotzt,strotzt,strotzte,gestrotzt,strotzte,strotze,strotzt,haben
strubbeln,strubbele,strubbelst,strubbelt,strubbelte,gestrubbelt,strubbelte,strubbel,strubbelt,haben
strudeln,strudele,strudelst,strudelt,strudelte,gestrudelt,strudelte,strudel,strudelt,haben
strukturieren,strukturiere,strukturierst,strukturiert,strukturierte,strukturiert,strukturierte,strukturier,strukturiert,haben
strullen,strulle,strullst,strullt,strullte,gestrullt,strullte,strull,strullt,haben
